section,hscode,description,parent,level
III,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",1512,6
III,151221,"Vegetable oils; cotton-seed oil and its fractions; crude, whether or not gossypol has been removed, not chemically modified",1512,6
III,151229,"Vegetable oils; cotton-seed oil and its fractions, other than crude, whether or not refined, but not chemically modified",1512,6
III,1513,"Coconut (copra), palm kernel or babassu oil and their fractions; whether or not refined but not chemically modified",15,4
III,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",1513,6
III,151319,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",1513,6
III,151321,"Vegetable oils; palm kernel or babassu oil and their fractions, crude, not chemically modified",1513,6
III,151329,"Vegetable oils; palm kernel or babassu oil and their fractions, other than crude, whether or not refined, but not chemically modified",1513,6
III,1514,"Rape, colza or mustard oil and their fractions; whether or not refined, but not chemically modified",15,4
III,151411,"Vegetable oils; low erucic acid rape or colza oil and its fractions, crude",1514,6
III,151419,"Vegetable oils; low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified",1514,6
III,151491,"Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, crude",1514,6
III,151499,"Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified",1514,6
III,1515,"Fixed vegetable or microbial fats and oils n.e.c. in chapter 15 (including jojoba oil) and their fractions, whether or not refined, but not chemically modified",15,4
III,151511,"Vegetable oils; linseed oil and its fractions, crude, not chemically modified",1515,6
III,151519,"Vegetable oils; linseed oil and its fractions, other than crude, whether or not refined, but not chemically modified",1515,6
III,151521,"Vegetable oils; maize (corn) oil and its fractions, crude, not chemically modified",1515,6
III,151529,"Vegetable oils; maize (corn) oil and its fractions, other than crude, whether or not refined, but not chemically modified",1515,6
III,151530,"Vegetable oils; castor oil and its fractions, whether or not refined, but not chemically modified",1515,6
III,151550,"Vegetable oils; sesame oil and its fractions, whether or not refined, but not chemically modified",1515,6
III,151560,"Vegetable oils; microbial fats and oils and their fractions, whether or not refined, but not chemically modified",1515,6
III,151590,"Fixed vegetable fats and oils and their fractions n.e.c. in heading 1515; other than linseed, maize (corn), castor, sesame, microbial oils, whether or not refined, but not chemically modified",1515,6
III,1516,"Animal, vegetable or microbial fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",15,4
III,151610,"Animal fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",1516,6
III,151620,"Vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",1516,6
III,151630,"Microbial fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",1516,6
III,1517,"Margarine; edible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, other than edible fats and oils or their fractions of heading 15.16",15,4
III,151710,Margarine; excluding liquid margarine,1517,6
III,151790,"Edible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, n.e.c. in heading 1517, other than edible fats and oils or their fractions of heading 15.16",1517,6
III,1518,"Animal, vegetable or microbial fats, oils and their fractions; boiled, oxidised, dehydrated or otherwise chemically modified, excluding those of heading no. 1516, inedible mixtures or preparations of fats, oils or their fractions, n.e.c. in chapter 15",15,4
III,151800,"Animal, vegetable or microbial fats, oils and their fractions; boiled, oxidised, dehydrated or otherwise chemically modified, excluding those of heading no. 1516, inedible mixtures or preparations of fats, oils or their fractions, n.e.c. in chapter 15",1518,6
III,1520,"Glycerol, crude; glycerol waters and glycerol lyes",15,4
III,152000,"Glycerol, crude; glycerol waters and glycerol lyes",1520,6
III,1521,"Vegetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti; whether or not refined or coloured",15,4
III,152110,Vegetable waxes (other than triglycerides); whether or not refined or coloured,1521,6
III,152190,"Waxes, other than vegetable, n.e.c. in heading no. 1521; whether or not refined or coloured",1521,6
III,1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,15,4
III,152200,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,1522,6
IV,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",TOTAL,2
IV,1601,"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based on these products",16,4
IV,160100,"Meat preparations; sausages and similar products, of meat, meat offal, blood or insects, and food preparations based on these products",1601,6
IV,1602,"Prepared or preserved meat, meat offal, blood or insects",16,4
IV,160210,"Meat preparations; homogenised preparations of meat, meat offal blood or insects",1602,6
IV,160220,Meat preparations; of the prepared or preserved liver of any animal (excluding homogenised preparations),1602,6
IV,160231,"Meat preparations; of turkeys, prepared or preserved meat or meat offal (excluding livers and homogenised preparations)",1602,6
IV,160232,"Meat preparations; of the poultry of heading no. 0105, (i.e. of fowls of the species Gallus domesticus)",1602,6
IV,160239,"Meat preparations; of poultry (excluding turkeys), prepared or preserved meat or meat offal (excluding livers and homogenised preparations)",1602,6
IV,160241,"Meat preparations; of swine, hams and cuts thereof, prepared or preserved (excluding homogenised preparations)",1602,6
IV,160242,"Meat preparations; of swine, shoulders and cuts thereof, prepared or preserved (excluding homogenised preparations)",1602,6
IV,160249,"Meat preparations; of swine, meat or meat offal (including mixtures), prepared or preserved, n.e.c. in heading no. 1602",1602,6
IV,160250,"Meat preparations; of bovine animals, meat or meat offal, prepared or preserved (excluding livers and homogenised preparations)",1602,6
IV,160290,"Meat preparations; of meat, meat offal or the blood of any animal, n.e.c. in heading no. 1602",1602,6
IV,1603,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates",16,4
IV,160300,"Extracts and juices; of meat, fish or crustaceans, molluscs or other aquatic invertebrates",1603,6
IV,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,16,4
IV,160411,"Fish preparations; salmon, prepared or preserved, whole or in pieces (but not minced)",1604,6
IV,160412,"Fish preparations; herrings, prepared or preserved, whole or in pieces (but not minced)",1604,6
IV,160413,"Fish preparations; sardines, sardinella and brisling or sprats, prepared or preserved, whole or in pieces (but not minced)",1604,6
IV,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",1604,6
IV,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",1604,6
IV,160416,"Fish preparations; anchovies, prepared or preserved, whole or in pieces (but not minced)",1604,6
IV,160417,"Fish preparations; eels, prepared or preserved, whole or in pieces (but not minced)",1604,6
IV,160418,"Fish preparations; shark fins, prepared or preserved, whole or in pieces (but not minced)",1604,6
IV,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",1604,6
IV,160420,"Fish preparations; fish minced or in forms n.e.c. in heading no. 1604, prepared or preserved",1604,6
IV,160431,Fish preparations; caviar,1604,6
IV,160432,"Fish preparations; caviar substitutes, prepared from fish eggs",1604,6
IV,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",16,4
IV,160510,"Crustacean preparations; crab, prepared or preserved",1605,6
IV,160521,"Crustacean preparations; shrimps and prawns, prepared or preserved, not in airtight containers",1605,6
IV,160529,"Crustacean preparations; shrimps and prawns, prepared or preserved, in airtight containers",1605,6
IV,160530,"Crustacean preparations; lobster, prepared or preserved",1605,6
IV,160540,"Crustacean preparations; other than crab, shrimps, prawns, and lobsters, prepared or preserved",1605,6
IV,160551,"Mollusc preparations; oysters, prepared or preserved",1605,6
IV,160552,"Mollusc preparations; scallops, including queen scallops, prepared or preserved",1605,6
IV,160553,"Mollusc preparations; mussels, prepared or preserved",1605,6
IV,160554,"Mollusc preparations; cuttle fish and squid, prepared or preserved",1605,6
IV,160555,"Mollusc preparations; octopus, prepared or preserved",1605,6
IV,160556,"Mollusc preparations; clams, cockles and arkshells, prepared or preserved",1605,6
IV,160557,"Mollusc preparations; abalone, prepared or preserved",1605,6
IV,160558,"Mollusc preparations; snails, other than sea snails, prepared or preserved",1605,6
IV,160559,"Mollusc preparations; n.e.c. in item no. 1605.5, preparations such as pastes, sausages, prepared meals and the like",1605,6
IV,160561,"Aquatic invertebrates; sea cucumbers, prepared or preserved",1605,6
IV,160562,"Aquatic invertebrates; sea urchins, prepared or preserved",1605,6
IV,160563,"Aquatic invertebrates; jellyfish, prepared or preserved",1605,6
IV,160569,"Aquatic invertebrates; other than crustaceans, molluscs, sea cucumbers, sea urchins, and jellyfish, prepared or preserved",1605,6
IV,17,Sugars and sugar confectionery,TOTAL,2
IV,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",17,4
IV,170112,"Sugars; beet sugar, raw, in solid form, not containing added flavouring or colouring matter",1701,6
IV,170113,"Sugars; cane sugar, raw, in solid form, as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter",1701,6
IV,170114,"Sugars; cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter",1701,6
IV,170191,"Sugars; sucrose, chemically pure, in solid form, containing added flavouring or colouring matter",1701,6
IV,170199,"Sugars; sucrose, chemically pure, in solid form, not containing added flavouring or colouring matter",1701,6
IV,1702,"Sugars, including lactose, maltose, glucose or fructose in solid form; sugar syrups without added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel",17,4
IV,170211,"Sugars; lactose and lactose syrup, containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",1702,6
IV,170219,"Sugars; lactose and lactose syrup, containing by weight less than 99% lactose, expressed as anhydrous lactose, calculated on the dry matter",1702,6
IV,170220,"Sugars; maple sugar, chemically pure, in solid form; maple syrup, not containing added flavouring or colouring matter",1702,6
IV,170230,"Sugars; glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose, the syrup not containing added flavouring or colouring matter",1702,6
IV,170240,"Sugars; glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar, the syrup not containing added flavouring or colouring matter",1702,6
IV,170250,"Sugars; fructose, chemically pure, in solid form",1702,6
IV,170260,"Sugars; fructose, other than chemically pure fructose, and fructose syrup (containing in the dry state more than 50% by weight of fructose), excluding invert sugar",1702,6
IV,170290,"Sugars; n.e.c. in heading no. 1702, including invert sugar and other sugar and sugar syrup blends containing, in the dry state, 50% by weight of fructose",1702,6
IV,1703,Molasses; resulting from the extraction or refining of sugar,17,4
IV,170310,"Sugars; molasses, from sugar cane, resulting from the extraction or refining of sugar",1703,6
IV,170390,"Sugars; molasses, from sugar beet, resulting from the extraction or refining of sugar",1703,6
IV,1704,"Sugar confectionery (including white chocolate), not containing cocoa",17,4
IV,170410,"Sugar confectionery; chewing gum, whether or not sugar-coated, not containing cocoa",1704,6
IV,170490,"Sugar confectionery; (excluding chewing gum, including white chocolate), not containing cocoa",1704,6
IV,18,Cocoa and cocoa preparations,TOTAL,2
IV,1801,"Cocoa beans; whole or broken, raw or roasted",18,4
IV,180100,"Cocoa beans; whole or broken, raw or roasted",1801,6
IV,1802,"Cocoa; shells, husks, skins and other cocoa waste",18,4
IV,180200,"Cocoa; shells, husks, skins and other cocoa waste",1802,6
IV,1803,Cocoa; paste; whether or not defatted,18,4
IV,180310,"Cocoa; paste, not defatted",1803,6
IV,180320,"Cocoa; paste, wholly or partly defatted",1803,6
IV,1804,"Cocoa; butter, fat and oil",18,4
IV,180400,"Cocoa; butter, fat and oil",1804,6
IV,1805,"Cocoa; powder, not containing added sugar or other sweetening matter",18,4
IV,180500,"Cocoa; powder, not containing added sugar or other sweetening matter",1805,6
IV,1806,Chocolate and other food preparations containing cocoa,18,4
IV,180610,"Cocoa; powder, containing added sugar or other sweetening matter",1806,6
IV,180620,"Chocolate & other food preparations containing cocoa; in blocks, slabs or bars weighing more than 2kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, content exceeding 2kg",1806,6
IV,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",1806,6
IV,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",1806,6
IV,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,1806,6
IV,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",TOTAL,2
IV,1901,"Malt extract; flour/groats/meal/starch/malt extract products, no cocoa (or less than 40% by weight) and food preparations of goods of headings 04.01 to 04.04, no cocoa (or less than 5% by weight), weights calculated on a totally defatted basis, n.e.c.",19,4
IV,190110,"Food preparations; of flour, meal, starch, malt extract or milk products, suitable for infants or young children, put up for retail sale",1901,6
IV,190120,"Food preparations; mixes and doughs for the preparation of bread, pastry, cakes, biscuits and other bakers' wares",1901,6
IV,190190,"Food preparations; of flour, meal, starch, malt extract or milk products, for uses n.e.c. in heading no. 1901",1901,6
IV,1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",19,4
IV,190211,"Food preparations; pasta, containing eggs, uncooked, not stuffed or otherwise prepared",1902,6
IV,190219,"Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared",1902,6
IV,190220,"Food preparations; pasta, stuffed (with meat or other substances), whether or not cooked or otherwise prepared",1902,6
IV,190230,"Food preparations; pasta (excluding stuffed), cooked or otherwise prepared",1902,6
IV,190240,Food preparations; couscous,1902,6
IV,1903,"Tapioca and substitutes therefor prepared from starch; in the form of flakes, grains, pearls, siftings or similar forms",19,4
IV,190300,"Food preparations; tapioca and substitutes thereof, prepared from starch in the form of flakes, grains, pearls, siftings or similar",1903,6
IV,1904,"Prepared foods obtained by swelling or roasting cereals or cereal products (e.g. corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (not flour and meal), pre-cooked or otherwise prepared, n.e.c.",19,4
IV,190410,Food preparations; obtained by the swelling or roasting of cereals or cereal products,1904,6
IV,190420,Food preparations; obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals,1904,6
IV,190430,"Prepared foods obtained by the swelling or roasting of cereals or cereal products (e.g. corn flakes); cereals, not maize (corn), in grain form or in the form of flakes or other worked grains, from bulgur wheat",1904,6
IV,190490,"Food preparations; cereal or cereal products (excluding maize), in grain form, pre-cooked or otherwise prepared",1904,6
IV,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",19,4
IV,190510,"Food preparations; crispbread, whether or not containing cocoa",1905,6
IV,190520,"Food preparations; gingerbread and the like, whether or not containing cocoa",1905,6
IV,190531,"Food preparations; sweet biscuits, whether or not containing cocoa",1905,6
IV,190532,"Food preparations; waffles and wafers, whether or not containing cocoa",1905,6
IV,190540,"Food preparations; rusks, toasted bread and similar toasted products, whether or not containing cocoa",1905,6
IV,190590,"Food preparations; bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products",1905,6
IV,20,"Preparations of vegetables, fruit, nuts or other parts of plants",TOTAL,2
IV,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",20,4
IV,200110,"Vegetable preparations; cucumbers and gherkins, prepared or preserved by vinegar or acetic acid",2001,6
IV,200190,"Vegetable preparations; vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid (excluding cucumbers and gherkins)",2001,6
IV,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,20,4
IV,200210,"Vegetable preparations; tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid",2002,6
IV,200290,"Vegetable preparations; tomatoes, (other than whole or in pieces), prepared or preserved otherwise than by vinegar or acetic acid",2002,6
IV,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",20,4
IV,200310,"Vegetable preparations; mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",2003,6
IV,200390,"Vegetable preparations; mushrooms and truffles, other than mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",2003,6
IV,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",20,4
IV,200410,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",2004,6
IV,200490,"Vegetable preparations; vegetables and mixtures of vegetables (excluding potatoes), prepared or preserved otherwise than by vinegar or acetic acid, frozen",2004,6
IV,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",20,4
IV,200510,"Vegetable preparations; homogenised vegetables, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,6
IV,200520,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,6
IV,200540,"Vegetable preparations; peas (pisum sativum), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,6
IV,200551,"Vegetable preparations; beans, shelled, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,6
IV,200559,"Vegetable preparations; beans, (not shelled), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,6
IV,200560,"Vegetable preparations; asparagus, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,6
IV,200570,"Vegetable preparations; olives, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,6
IV,200580,"Vegetable preparations; sweetcorn (zea mays var. saccharata), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,6
IV,200591,"Vegetable preparations; bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,6
IV,200599,"Vegetable preparations; vegetables and mixtures of vegetables n.e.c. in heading no. 2005, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",2005,6
IV,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",20,4
IV,200600,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",2006,6
IV,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",20,4
IV,200710,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes; homogenised, cooked preparations, whether or not containing added sugar or other sweetening matter",2007,6
IV,200791,"Jams, jellies, marmalades, purees and pastes; of citrus fruit, being cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter",2007,6
IV,200799,"Jams, fruit jellies, marmalades, purees and pastes; of fruit or nuts n.e.c. in heading no. 2007, cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter",2007,6
IV,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",20,4
IV,200811,"Nuts; ground-nuts, whether or not containing added sugar, other sweetening matter or spirit",2008,6
IV,200819,"Nuts and other seeds; whether or not containing added sugar, other sweetening matter or spirit (excluding ground-nuts except in mixtures)",2008,6
IV,200820,"Fruit; pineapples, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",2008,6
IV,200830,"Fruit; citrus, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",2008,6
IV,200840,"Fruit; pears, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",2008,6
IV,200850,"Fruit; apricots, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",2008,6
IV,200860,"Fruit; cherries, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",2008,6
IV,200870,"Fruit; peaches, including nectarines, prepared or preserved in ways n.e.c. in heading no. 2007 and 2008, whether or not containing added sugar, other sweetening matter or spirit",2008,6
IV,200880,"Fruit; strawberries, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",2008,6
IV,200891,"Fruit, palm hearts; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit",2008,6
IV,200893,"Fruit; cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos); Iingonberries (Vaccinium vitis-idaea), prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit",2008,6
IV,200897,"Fruit, nuts and other edible parts of plants; mixtures (other than those of subheading no 2008.19); prepared or preserved in ways n.e.c. in headings 2007 and 2008, whether or not containing added sugar, or other sweetening matter or spirit, n.e.c.",2008,6
IV,200899,"Fruit, nuts and other edible parts of plants; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit, n.e.c. in heading no. 2008",2008,6
IV,2009,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",20,4
IV,200911,"Juice; orange, frozen, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",2009,6
IV,200912,"Juice; orange, not frozen, of a Brix value not exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200919,"Juice; orange, not frozen, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200921,"Juice; grapefruit or pomelo, of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",2009,6
IV,200929,"Juice; grapefruit or pomelo, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200931,"Juice; of single citrus fruit (excluding orange, grapefruit or pomelo), of a Brix value not exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200939,"Juice; of single citrus fruit (excluding orange, grapefruit or pomelo), of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200941,"Juice; pineapple, of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",2009,6
IV,200949,"Juice; pineapple, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200950,"Juice; tomato, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200961,"Juice; grape, of a Brix value not exceeding 30, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",2009,6
IV,200969,"Juice; grape, of a Brix value exceeding 30, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200971,"Juice; apple, of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",2009,6
IV,200979,"Juice; apple, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200981,"Juice; cranberry (Vaccinium macrocarpon, Vaccinium oxycoccos); Iingonberry (Vaccinium vitis-idaea), unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200989,"Juice; of any single fruit, nut or vegetable n.e.c. in heading no. 2009, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,200990,"Juices; mixtures of fruits or vegetables (but not nut juice), unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,6
IV,21,Miscellaneous edible preparations,TOTAL,2
IV,2101,"Extracts, essences, concentrates of coffee, tea or mate; preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof",21,4
IV,210111,"Extracts, essences and concentrates; of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee",2101,6
IV,210112,"Preparations with a basis of extracts, essences or concentrates or with a basis of coffee",2101,6
IV,210120,"Extracts, essences and concentrates; of tea or mate, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or mate",2101,6
IV,210130,"Chicory, roasted and other roasted coffee substitutes; extracts, essences and concentrates thereof",2101,6
IV,2102,"Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading no. 3002); prepared baking powders",21,4
IV,210210,Yeasts; active,2102,6
IV,210220,"Yeasts; inactive, other single-cell micro-organisms, dead",2102,6
IV,210230,Baking powders; prepared,2102,6
IV,2103,"Sauces and preparations therefor; mixed condiments and mixed seasonings, mustard flour and meal and prepared mustard",21,4
IV,210310,Sauces; soya,2103,6
IV,210320,Sauces; tomato ketchup and other tomato sauces,2103,6
IV,210330,Mustard flour and meal and prepared mustard,2103,6
IV,210390,Sauces and preparations therefor; mixed condiments and mixed seasonings,2103,6
IV,2104,Soups and broths and preparations therefor; homogenised composite food preparations,21,4
IV,210410,Soups and broths and preparations therefor,2104,6
IV,210420,Homogenised composite food preparations,2104,6
IV,2105,Ice cream and other edible ice; whether or not containing cocoa,21,4
IV,210500,Ice cream and other edible ice; whether or not containing cocoa,2105,6
IV,2106,Food preparations not elsewhere specified or included,21,4
IV,210610,Protein; concentrates and textured protein substances,2106,6
IV,210690,Food preparations; n.e.c. in item no. 2106.10,2106,6
IV,22,"Beverages, spirits and vinegar",TOTAL,2
IV,2201,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow",22,4
IV,220110,"Waters; mineral and aerated, including natural or artificial, (not containing added sugar or other sweetening matter nor flavoured)",2201,6
IV,220190,"Waters; other than mineral and aerated, (not containing added sugar or other sweetening matter nor flavoured), ice and snow",2201,6
IV,2202,"Waters, including mineral and aerated waters, containing added sugar or sweetening matter, flavoured; other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading no. 2009",22,4
IV,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",2202,6
IV,220291,Non-alcoholic beverages; non-alcoholic beer,2202,6
IV,220299,"Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, not including fruit, nut or vegetable juices of heading no. 2009",2202,6
IV,2203,Beer made from malt,22,4
IV,220300,Beer; made from malt,2203,6
IV,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",22,4
IV,220410,Wine; sparkling,2204,6
IV,220421,"Wine; still, in containers holding 2 litres or less",2204,6
IV,220422,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",2204,6
IV,220429,"Wine; still, in containers holding more than 10 litres",2204,6
IV,220430,"Grape must; n.e.c. in heading no. 2009, n.e.c. in item no. 2204.2",2204,6
IV,2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",22,4
IV,220510,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding 2 litres or less",2205,6
IV,220590,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding more than 2 litres",2205,6
IV,2206,"Fermented beverages, n.e.c. in chapter 22; (e.g. cider, perry, mead, sake)",22,4
IV,220600,"Beverages, fermented; (e.g. cider, perry, mead, sake)",2206,6
IV,2207,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of 80% vol. or higher; ethyl alcohol and other spirits, denatured, of any strength",22,4
IV,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,2207,6
IV,220720,"Ethyl alcohol and other spirits; denatured, of any strength",2207,6
IV,2208,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of less than 80% volume; spirits, liqueurs and other spirituous beverages",22,4
IV,220820,Spirits obtained by distilling grape wine or grape marc,2208,6
IV,220830,Whiskies,2208,6
IV,220840,Rum and other spirits obtained by distilling fermented sugar-cane products,2208,6
IV,220850,Gin and geneva,2208,6
IV,220860,Vodka,2208,6
IV,220870,Liqueurs and cordials,2208,6
